framework,precision,resolution,hardware,model,fps,latency_ms,size_mb,map50,notes,A_norm,F_norm,S_norm,utility,feasible
TensorRT,FP16,640,GPU2,YOLOv8s,57.5626,17.3724,24.35,0.707869,,0.874731536809457,0.8883905842421196,0.14543319054856987,0.6747963055676504,True
PyTorch,FP32,640,GPU2,YOLOv8s,62.4497,16.0129,21.53,0.697097,,0.8084418981039881,0.9651858952198372,0.12594997927317952,0.6685867217633094,True
TensorRT,FP16,640,GPU2,YOLOv8m,52.5428,19.0321,52.53,0.723565,,0.9713229004486181,0.80951004117037,0.34012712449910193,0.6604890376755996,False
TensorRT,FP16,640,GPU1,YOLOv8s,54.0923,18.4869,23.34,0.707808,,0.8743561498839992,0.8338587007762658,0.13845516097830593,0.6596446529792181,True
PyTorch,FP16,640,GPU2,YOLOv8s,58.4418,17.111,21.54,0.697065,,0.8082449738152238,0.9022062289826833,0.1260190686748653,0.6495805418674439,True
TensorRT,FP16,640,GPU1,YOLOv8m,49.8339,20.0667,52.2,0.722321,,0.9636674687228843,0.7669427071875294,0.33784717424347116,0.6443471116690067,False
PyTorch,INT8 Dynamic,640,GPU2,YOLOv8s,61.9458,16.1431,42.93,0.697097,,0.8084418981039881,0.9572676702599076,0.2738012988807517,0.6366409903538159,True
TensorRT,FP16,640,GPU2,YOLOv8n,58.4916,17.0965,8.6,0.679939,,0.702853556021883,0.9029887802885068,0.03661738289346415,0.6149999355188007,True
TensorRT,FP32,640,GPU2,YOLOv8s,54.0234,18.5105,56.08,0.70787,,0.8747376906934812,0.8327760143310601,0.3646538620975543,0.6142708772265477,False
PyTorch,FP32,640,GPU2,YOLOv8m,57.7331,17.3211,49.7,0.699277,,0.8218573652760942,0.8910698010622584,0.3205748238220258,0.6141346581923195,True
TensorRT,FP16,640,GPU1,YOLOv8n,57.9883,17.2449,7.95,0.679762,,0.7017643185496525,0.8950799836575631,0.03212657178388836,0.6129808400153176,True
TensorRT,FP32,640,GPU2,YOLOv8n,57.401,17.4213,15.68,0.67989,,0.702552015704712,0.8858512209686037,0.08553267928699738,0.5999248382855377,True
PyTorch,FP16,640,GPU1,YOLOv8s,47.6628,20.9807,21.54,0.697073,,0.808294204887415,0.7328262987523178,0.1260190686748653,0.5987911783344297,True
TensorRT,FP32,640,GPU1,YOLOv8s,49.6425,20.144,61.19,0.707869,,0.874731536809457,0.7639350702410509,0.3999585463589886,0.5865545802052461,False
PyTorch,FP32,640,GPU1,YOLOv8s,44.7074,22.3677,21.53,0.697108,,0.8085095908282509,0.6863854929444672,0.12594997927317952,0.5849804474428297,True
PyTorch,FP32,640,GPU2,YOLOv8n,63.4439,15.762,6.23,0.660001,,0.5801574163533312,0.980808636349351,0.020243194693933958,0.5802726601426841,True
PyTorch,INT8 Dynamic,640,GPU2,YOLOv8n,64.6652,15.4643,12.34,0.660001,,0.5801574163533312,1.0,0.06245681912394639,0.5775873443518763,True
ONNX,INT8 Dynamic,640,GPU2,YOLOv8s,41.3695,24.1724,42.79,0.7079,,0.8749223072141981,0.6339341274081524,0.2728340472571508,0.5730745823781145,True
TensorRT,FP32,640,GPU1,YOLOv8n,52.1043,19.1923,17.96,0.679877,,0.7024720152124011,0.8026195040698954,0.10128506287135555,0.571764846252898,True
ONNX,FP32,640,GPU2,YOLOv8s,40.6903,24.5759,42.79,0.7079,,0.8749223072141981,0.6232612589961972,0.2728340472571508,0.5698727218545281,True
PyTorch,INT8 Dynamic,640,GPU1,YOLOv8s,47.2267,21.1745,42.93,0.697108,,0.8085095908282509,0.7259734749677865,0.2738012988807517,0.5672865781283112,True
